"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Aug 19 08:11:59 IST 2023","Sat Aug 19 08:12:24 IST 2023","24737","Default Suite","LearningSel","com.tta.vwo.tests.LoginTest","com.tta.vwo.tests.LoginTest","test_vwo_positive","test_vwo_positive",""
"failed","Sat Jul 29 08:53:57 IST 2023","Sat Jul 29 08:54:06 IST 2023","8976","Default Suite","LearningSel","org.example.Selenium06","org.example.Selenium06","testInvalidLogin","testInvalidLogin","TC#1 - Verify that with Invalid username and Valid password, Login is not successfull !!"
"passed","Sun Aug 13 08:32:57 IST 2023","Sun Aug 13 08:33:10 IST 2023","12415","Default Suite","LearningSel","com.tta.datadriventesting.realtimescenario.DDTRealTime01","com.tta.datadriventesting.realtimescenario.DDTRealTime01","testDataDriven","testDataDriven",""
"broken","Sun Aug 13 08:30:04 IST 2023","Sun Aug 13 08:30:25 IST 2023","21035","Default Suite","LearningSel","com.tta.datadriventesting.realtimescenario.DDTRealTime01","com.tta.datadriventesting.realtimescenario.DDTRealTime01","testDataDriven","testDataDriven",""
"failed","Sat Aug 19 07:55:58 IST 2023","Sat Aug 19 07:56:18 IST 2023","19227","Default Suite","LearningSel","com.tta.vwo.tests.LoginTest","com.tta.vwo.tests.LoginTest","test_vwo","test_vwo",""
"passed","Sun Nov 05 12:15:42 IST 2023","Sun Nov 05 12:15:47 IST 2023","4755","All Test Suite","Negative TC","atb5x.c2.SeleniumC2006","atb5x.c2.SeleniumC2006","negativeTC","negativeTC",""
"passed","Sat Nov 11 12:19:40 IST 2023","Sat Nov 11 12:19:51 IST 2023","11128","All Test Suite","VWO Login","atb5x.c3.vwoLoginTest","atb5x.c3.vwoLoginTest","testPositive","testPositive",""
"passed","Sun Aug 13 08:22:34 IST 2023","Sun Aug 13 08:22:44 IST 2023","9773","Default Suite","LearningSel","com.tta.datadriventesting.realtimescenario.DDTRealTime01","com.tta.datadriventesting.realtimescenario.DDTRealTime01","testDataDriven","testDataDriven",""
"unknown","Sat Jul 29 08:53:57 IST 2023","Sat Jul 29 08:53:57 IST 2023","1","Default Suite","LearningSel","org.example.Selenium06","org.example.Selenium06","testValidLogin","testValidLogin","Verify that with Valid username and Valid password, Login is successfull !!"
"broken","Sun Aug 13 08:29:27 IST 2023","Sun Aug 13 08:29:27 IST 2023","3","Default Suite","LearningSel","com.tta.datadriventesting.realtimescenario.DDTRealTime01","com.tta.datadriventesting.realtimescenario.DDTRealTime01","testDataDriven","testDataDriven",""
"passed","Sat Aug 19 08:18:37 IST 2023","Sat Aug 19 08:18:59 IST 2023","21403","Default Suite","LearningSel","com.tta.vwo.tests.LoginTest","com.tta.vwo.tests.LoginTest","test_vwo_negative","test_vwo_negative",""
"broken","Sun Aug 13 08:33:10 IST 2023","Sun Aug 13 08:33:20 IST 2023","10024","Default Suite","LearningSel","com.tta.datadriventesting.realtimescenario.DDTRealTime01","com.tta.datadriventesting.realtimescenario.DDTRealTime01","testDataDriven","testDataDriven",""
"passed","Sat Nov 11 10:33:48 IST 2023","Sat Nov 11 10:34:12 IST 2023","23840","Default Suite","LearningSel","atb5x.c3.SeleniumC3001","atb5x.c3.SeleniumC3001","testBrowser","testBrowser",""
"passed","Sat Nov 11 11:06:27 IST 2023","Sat Nov 11 11:06:36 IST 2023","8769","Default Suite","LearningSel","atb5x.c3.SeleniumC3002","atb5x.c3.SeleniumC3002","testBrowser","testBrowser",""
"passed","Sat Nov 11 12:19:36 IST 2023","Sat Nov 11 12:19:40 IST 2023","4420","All Test Suite","VWO Login","atb5x.c3.vwoLoginTest","atb5x.c3.vwoLoginTest","testNegative","testNegative",""
"passed","Sun Aug 13 08:22:44 IST 2023","Sun Aug 13 08:22:49 IST 2023","5473","Default Suite","LearningSel","com.tta.datadriventesting.realtimescenario.DDTRealTime01","com.tta.datadriventesting.realtimescenario.DDTRealTime01","testDataDriven","testDataDriven",""
